Weekend Pass|Comedy|3.8
Over the Brooklyn Bridge|Comedy|5.7
Fast Talking|Drama|6.9
Lily in Love|Comedy|5.7
Winter Flight|Drama|7.3
Almost You|Comedy|5.1
The Adventures of Pinocchio|Animation|5.1
Blame It on the Night|Comedy|5.1
Petit Con|Comedy|6.2
Weird Science|Comedy|6.6
The Goonies|Adventure|7.8
Back to the Future|Adventure|8.5
To Live and Die in L.A.|Action|7.3
Clue|Comedy|7.3
The Breakfast Club|Comedy|7.8
Cocoon|Comedy|6.7
Rambo: First Blood Part II|Action|6.5
Mask|Biography|7.2
Legend|Adventure|6.4
The Return of the Living Dead|Comedy|7.3
St. Elmo's Fire|Drama|6.4
Brazil|Drama|7.9
Pale Rider|Drama|7.3
Teen Wolf|Comedy|6.1
Real Genius|Comedy|7.0
Commando|Action|6.7
Witness|Crime|7.4
The Color Purple|Drama|7.8
Silverado|Action|7.2
Rocky IV|Drama|6.9
Better Off Dead...|Comedy|7.1
Ran|Action|8.2
Ladyhawke|Adventure|7.0
A Room with a View|Drama|7.3
Red Sonja|Action|5.1
Fright Night|Fantasy|7.1
Explorers|Adventure|6.5
Flesh+Blood|Adventure|6.7
Mad Max Beyond Thunderdome|Action|6.3
After Hours|Comedy|7.7
A View to a Kill|Action|6.3
Fletch|Comedy|6.9
Perfect|Drama|4.5
A Nightmare on Elm Street 2: Freddy's Revenge|Horror|5.5
Summer Rental|Comedy|6.3
Lifeforce|Action|6.2
Pee-wee's Big Adventure|Adventure|7.0
Out of Africa|Biography|7.2
Day of the Dead|Horror|7.1
Just One of the Guys|Comedy|6.5
National Lampoon's European Vacation|Adventure|6.2
Spies Like Us|Adventure|6.4
House|Comedy|6.2
Police Academy 2: Their First Assignment|Comedy|5.8
The Black Cauldron|Animation|6.4
Friday the 13th: A New Beginning|Horror|4.8
Runaway Train|Action|7.2
Re-Animator|Comedy|7.2
Brewster's Millions|Comedy|6.5
The Last Dragon|Action|6.9
The Legend of Billie Jean|Action|6.6
Desperately Seeking Susan|Comedy|6.0
Girls Just Want to Have Fun|Comedy|6.0
Vision Quest|Drama|6.6
Jagged Edge|Drama|6.5
Enemy Mine|Action|6.9
Tuff Turf|Action|6.1
Volunteers|Adventure|5.5
The Jewel of the Nile|Action|6.1
Once Bitten|Comedy|5.5
Private Resort|Comedy|5.3
Police Story|Action|7.6
Into the Night|Action|6.5
The Sure Thing|Comedy|7.0
White Nights|Drama|6.7
Mischief|Comedy|6.5
Silver Bullet|Horror|6.4
Kiss of the Spider Woman|Drama|7.4
My Beautiful Laundrette|Comedy|6.9
Young Sherlock Holmes|Adventure|6.8
Smooth Talk|Drama|6.5
Porky's Revenge|Comedy|4.8
Year of the Dragon|Action|6.9
Prizzi's Honor|Comedy|6.7
The Quiet Earth|Drama|6.8
Tampopo|Comedy|8.0
Creature|Horror|4.3
Secret Admirer|Comedy|6.6
No Retreat, No Surrender|Action|5.7
D.A.R.Y.L.|Family|6.3
Mishima: A Life in Four Chapters|Biography|8.0
A Chorus Line|Drama|6.2
Cat's Eye|Comedy|6.3
Murphy's Romance|Comedy|7.0
Heaven Help Us|Comedy|6.9
American Flyers|Drama|6.5
The Journey of Natty Gann|Adventure|7.0
Trouble in Mind|Comedy|6.5
Fandango|Comedy|6.7
Gotcha!|Action|6.2
Death Wish 3|Action|5.9
King Solomon's Mines|Action|5.2
American Warrior|Action|5.5
The Emerald Forest|Action|6.9
The Holcroft Covenant|Action|5.7
The Falcon and the Snowman|Biography|6.8
Transylvania 6-5000|Comedy|5.0
Desert Hearts|Drama|7.0
The Heavenly Kid|Comedy|6.3
The Purple Rose of Cairo|Comedy|7.7
The Man with One Red Shoe|Comedy|5.7
My Life as a Dog|Drama|7.6
My Science Project|Action|6.0
Seven Minutes in Heaven|Comedy|6.1
Fraternity Vacation|Comedy|5.3
The New Kids|Crime|6.1
Tomboy|Comedy|4.7
Invasion U.S.A.|Action|5.5
Revolution|Adventure|5.3
Lost in America|Comedy|7.0
Subway|Thriller|6.6
Moving Violations|Comedy|5.7
Nomads|Horror|5.3
Fool for Love|Drama|6.1
Baby: Secret of the Lost Legend|Adventure|5.1
Code of Silence|Action|6.1
Crimewave|Comedy|5.7
Gymkata|Action|4.4
Sweet Dreams|Biography|7.1
The Slugger's Wife|Comedy|4.5
Avenging Angel|Action|4.8
Santa Claus: The Movie|Adventure|6.3
That Was Then... This Is Now|Crime|6.2
Agnes of God|Drama|6.6
Rustlers' Rhapsody|Comedy|6.5
The Adventures of Mark Twain|Animation|7.4
Stick|Action|5.7
The Bride|Fantasy|5.3
Morons from Outer Space|Comedy|4.5
Godzilla 1985|Action|6.2
Plenty|Drama|6.0
King David|Adventure|5.3
The Trip to Bountiful|Drama|7.5
Missing in Action 2: The Beginning|Action|5.3
